Description,p_y101_y1015,q_y101_y1015,p_y101_y102,q_y101_y102,p_y101_y201,q_y101_y201,p_y101_y202,q_y101_y202,p_y102_y201,q_y102_y201,p_y102_y202,q_y102_y202,p_y201_y202,q_y201_y202,>1pep
Actin-related protein 2/3 complex subunit 4 OS=Bos taurus GN=ARPC4 PE=1 SV=3,0.019611544,0.07109221,0.470691703,0.470449333,0.523406085,0.636245034,0.100685815,0.431058131,0.300901903,0.312166907,0.365574372,1,0.083485781,0.277871251,x
Myotrophin OS=Bos taurus GN=MTPN PE=1 SV=3,0.031038346,0.088194095,0.28435917,0.402745676,0.674675719,0.688024784,0.889254361,0.800282474,0.186813678,0.265668944,0.255822318,1,0.558103989,0.539745483,x
"Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3",0.389598757,0.343544765,0.353924715,0.429371006,0.229652218,0.608824883,0.532463108,0.673152715,0.083385328,0.230303107,0.703933559,1,0.114607915,0.304456565,x
Endoplasmic reticulum resident protein 29 OS=Homo sapiens GN=ERP29 PE=1 SV=4,0.211693387,0.246384762,0.565802789,0.493369873,0.191378189,0.608824883,0.070605964,0.379136758,0.13055168,0.238397513,0.160131323,1,0.04500252,0.234380785,x
Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2,0.199279754,0.239006064,0.274657823,0.402265047,0.901195655,0.758084689,0.119114874,0.435178604,0.122465872,0.233194644,0.274552432,1,0.067343375,0.266658884,x
Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1,0.938911391,0.588833371,0.369812167,0.436158625,0.485300769,0.63592952,0.86040641,0.793760998,0.654942638,0.420828399,0.512458274,1,0.659000866,0.578368325,x
Microtubule-associated protein RP/EB family member 1 OS=Homo sapiens GN=MAPRE1 PE=1 SV=3,0.006477544,0.052122584,0.032489664,0.242798691,0.415985321,0.61323726,0.539758225,0.676543733,0.031304842,0.200708451,0.179056257,1,0.27729852,0.422254837,x
"Splicing factor, proline- and glutamine-rich OS=Homo sapiens GN=SFPQ PE=1 SV=2",0.687077104,0.496434536,0.758110259,0.551307503,0.347271464,0.608824883,0.927078477,0.815079264,0.280885243,0.302683418,0.820500158,1,0.323200226,0.440502646,x
Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=2,0.17251023,0.222032968,0.634985475,0.518639728,0.824632712,0.73909024,0.311214487,0.574608544,0.384037545,0.335302175,0.456251033,1,0.154729768,0.335717615,x
PDZ and LIM domain protein 2 OS=Homo sapiens GN=PDLIM2 PE=1 SV=1,0.068444913,0.134291129,0.85835094,0.579484429,0.522716055,0.636245034,0.825307714,0.785556796,0.544122143,0.385038411,0.510571077,1,0.380850388,0.453064641,x
AP-1 complex subunit beta-1 OS=Bos taurus GN=AP2B1 PE=2 SV=1,0.119803111,0.182735159,0.124010037,0.326215887,0.173844998,0.608824883,0.023339248,0.239646622,0.02970717,0.200708451,0.764585054,1,0.001807483,0.068713828,x
Mesothelin OS=Homo sapiens GN=MSLN PE=1 SV=2,0.262845637,0.27779759,0.010602133,0.16805672,0.329738231,0.608824883,0.066092466,0.369345731,0.018146193,0.176461091,0.535197313,1,0.049038845,0.241665349,x
"Histidine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=HARS PE=1 SV=2",0.013140344,0.060066311,0.182049654,0.360175528,0.278901336,0.608824883,0.910305081,0.810203543,0.196409471,0.271376455,0.59650118,1,0.292682143,0.425611198,x
Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2,0.048033162,0.11103187,0.04167394,0.246646372,0.072222218,0.608824883,0.389387344,0.609393565,0.499992232,0.371927722,0.385426528,1,0.24001077,0.405003755,x
Soluble scavenger receptor cysteine-rich domain-containing protein SSC5D OS=Homo sapiens GN=SSC5D PE=1 SV=3,0.021004127,0.072426401,0.211556777,0.375184971,0.768728166,0.716287636,0.127439544,0.44655834,0.517177417,0.379134895,0.379072866,1,0.279629039,0.422254837,x
MAM domain-containing protein 2 OS=Homo sapiens GN=MAMDC2 PE=2 SV=3,0.743874213,0.516086305,0.805131448,0.562933647,0.51478134,0.636245034,0.777160681,0.771637413,0.521509035,0.379892812,0.906518213,1,0.623677347,0.564237801,x
RGM domain family member B OS=Homo sapiens GN=RGMB PE=1 SV=3,0.390428542,0.343948268,0.158413151,0.349377275,0.004933833,0.391791548,0.315052228,0.574608544,0.094544761,0.230303107,0.458603914,1,0.012795389,0.165262832,x
S-adenosylmethionine synthase isoform type-2 OS=Homo sapiens GN=MAT2A PE=1 SV=1,0.008390883,0.054434927,0.488405232,0.479115666,0.204234434,0.608824883,0.337027546,0.587917516,0.712182566,0.44013883,0.206908956,1,0.08696375,0.280922559,x
Ubiquitin carboxyl-terminal hydrolase 14 OS=Homo sapiens GN=USP14 PE=1 SV=3,0.004529518,0.043602136,0.134865475,0.331434248,0.25485138,0.608824883,0.117789203,0.435178604,0.090098634,0.230303107,0.931512238,1,0.08848514,0.282001731,x
"Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5",0.333317758,0.317224176,0.419805457,0.450795719,0.513990147,0.636245034,0.76148899,0.767571113,0.098077743,0.230303107,0.35529996,1,0.193081552,0.373346927,x
"3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=1 SV=1",0.012200111,0.058620747,0.134912246,0.331434248,0.168939224,0.608824883,0.613856455,0.707263484,0.779569344,0.46436233,0.08629875,1,0.180605063,0.363678464,x
Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1,0.186697986,0.231584994,0.2729285,0.402234509,0.988284102,0.776795211,0.864373389,0.795769802,0.468949784,0.363340191,0.271458483,1,0.896336263,0.670292964,x
Tetranectin OS=Homo sapiens GN=CLEC3B PE=1 SV=3,0.715038324,0.505790552,0.028080104,0.240633722,0.55196167,0.640801395,0.192162758,0.505824676,0.158825948,0.251358053,0.524266842,1,0.268506119,0.416634879,x
14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2,0.055536313,0.118477674,0.037738741,0.246646372,0.624385221,0.6682198,0.084421298,0.403810892,0.217186216,0.280924226,0.473431373,1,0.154640932,0.335717615,x
Lumican OS=Bos taurus GN=LUM PE=1 SV=1,0.999963269,0.603998173,0.253816986,0.393141057,0.798990154,0.727604829,0.869541906,0.796949618,0.614158228,0.407315765,0.364623922,1,0.880945158,0.665055149,x
Pigment epithelium-derived factor OS=Bos taurus GN=SERPINF1 PE=1 SV=1,0.61695132,0.465036973,0.387403944,0.437961466,0.75186792,0.707407628,0.254138844,0.541085286,0.986474903,0.523822292,0.735617185,1,0.891541628,0.668802524,x
Omega-amidase NIT2 OS=Homo sapiens GN=NIT2 PE=1 SV=1,0.01332471,0.060066311,0.002227606,0.123401569,0.630663734,0.668548072,0.162803223,0.479223471,0.44865963,0.357406304,0.134251383,1,0.904975285,0.672200066,x
Niban-like protein 1 OS=Homo sapiens GN=FAM129B PE=1 SV=3,0.84874675,0.559844021,0.495307957,0.479948518,0.289680666,0.608824883,0.553818575,0.679605586,0.174781757,0.262701976,0.225595646,1,0.411767907,0.469612075,x
Poly(rC)-binding protein 1 OS=Bos taurus GN=PCBP1 PE=2 SV=1,0.103806382,0.169187413,0.232635744,0.385369047,0.773775778,0.717420029,0.695411788,0.746412369,0.294412057,0.310821284,0.279332091,1,0.935371471,0.681304722,x
Hemoglobin subunit alpha OS=Bos taurus GN=HBA PE=1 SV=2,0.963721755,0.596112352,0.15971083,0.3497818,0.32799194,0.608824883,0.879260877,0.798817471,0.488626194,0.37073469,0.332080229,1,0.325179164,0.440785098,x
Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1,0.022634723,0.074704059,0.207659684,0.371084548,0.428170802,0.615954455,0.175819127,0.49005937,0.167341808,0.257268537,0.931033459,1,0.150355244,0.335659888,x
Collagen alpha-1(I) chain OS=Bos taurus GN=COL1A1 PE=1 SV=3,0.357601726,0.33058308,0.052753311,0.258749661,0.009525922,0.472778462,0.320291908,0.576050832,0.032381657,0.200708451,0.4654948,1,0.056245065,0.2528983,x
Fibronectin OS=Bos taurus GN=FN1 PE=1 SV=4,0.0202419,0.071215408,0.00808646,0.16805672,0.054132862,0.608824883,0.003629227,0.120620209,0.2319673,0.28367715,0.558526246,1,0.108340284,0.304101747,x
Tropomyosin alpha-3 chain OS=Homo sapiens GN=TPM3 PE=1 SV=2,0.694708412,0.499604665,0.841398807,0.575021352,0.54696609,0.640674953,0.353522109,0.596107146,0.50312405,0.372213269,0.511887805,1,0.261296537,0.416585467,x
"Keratin, type I cytoskeletal 10 OS=Homo sapiens GN=KRT10 PE=1 SV=6",0.374275948,0.336454127,0.207412771,0.371084548,0.329887801,0.608824883,0.760788658,0.767571113,0.594967331,0.401852559,0.333390312,1,0.440289513,0.482169768,x
Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2,0.139144755,0.199358235,0.128428298,0.327767327,0.463158304,0.624674619,0.161650744,0.479223471,0.243916847,0.289509599,0.50489897,1,0.192617359,0.373346927,x
Integrin beta-1 OS=Homo sapiens GN=ITGB1 PE=1 SV=2,0.519374014,0.415819453,0.509057506,0.482747644,0.803299531,0.728571397,0.69185168,0.745132562,0.325388079,0.320154183,0.359162609,1,0.835217434,0.651798086,x
cAMP-dependent protein kinase type I-alpha regulatory subunit OS=Bos taurus GN=PRKAR1A PE=1 SV=2,0.431626641,0.364934679,0.001924,0.123401569,0.003900875,0.348536548,0.046133881,0.318389304,0.000572379,0.051331352,0.364422375,1,0.005363653,0.105416536,x
WNT1-inducible-signaling pathway protein 2 OS=Homo sapiens GN=WISP2 PE=1 SV=1,0.015545933,0.064712902,0.676058846,0.530030815,0.065601704,0.608824883,0.687634737,0.742904285,0.279081897,0.301943329,0.981950227,1,0.260264942,0.416585467,x
Pregnancy-specific beta-1-glycoprotein 4 OS=Homo sapiens GN=PSG4 PE=2 SV=3,0.03862197,0.098864979,0.200045611,0.369457323,0.137707471,0.608824883,0.292626427,0.562732436,0.529036776,0.379892812,0.987813866,1,0.584137448,0.548811261,x
Extracellular superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD3 PE=1 SV=2,0.361470309,0.332048639,0.046659486,0.246646372,0.024615889,0.608824883,0.034564382,0.286383114,0.46779593,0.363340191,0.584737593,1,0.872906841,0.662137741,x
Thioredoxin-like protein 1 OS=Homo sapiens GN=TXNL1 PE=1 SV=3,0.627968737,0.471418938,0.53583066,0.487825543,0.192743318,0.608824883,0.050288831,0.330795717,0.161445785,0.252851225,0.150829974,1,0.361004939,0.452141063,x
Polypeptide N-acetylgalactosaminyltransferase 10 OS=Homo sapiens GN=GALNT10 PE=1 SV=2,0.307017394,0.304580155,0.175531615,0.355495161,0.242856818,0.608824883,0.970898209,0.820442581,0.066737354,0.216742638,0.296576433,1,0.321717585,0.440085004,x
Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Bos taurus GN=GNB2L1 PE=2 SV=3,0.384666362,0.341396961,0.728099577,0.545172133,0.144271056,0.608824883,0.395491387,0.612877792,0.035319063,0.200708451,0.458885757,1,0.094898552,0.286509747,x
Growth arrest-specific protein 6 OS=Homo sapiens GN=GAS6 PE=1 SV=2,0.501634441,0.405572193,0.070969086,0.288079614,0.326112706,0.608824883,0.226356024,0.520333851,0.294029789,0.310821284,0.467313607,1,0.756203995,0.621574391,x
Nucleoside diphosphate kinase B OS=Homo sapiens GN=NME2 PE=1 SV=1,0.114040173,0.179840419,0.927777888,0.597623879,0.445547716,0.622806778,0.281096347,0.555770321,0.519071863,0.379489653,0.303837713,1,0.162780725,0.341761328,x
Cytokine-like protein 1 OS=Homo sapiens GN=CYTL1 PE=1 SV=1,0.62395535,0.469550385,0.522249987,0.48400219,0.023148409,0.608824883,0.317568878,0.574608544,0.022971625,0.183574294,0.68392529,1,0.010773984,0.15090049,x
X-ray repair cross-complementing protein 6 OS=Homo sapiens GN=XRCC6 PE=1 SV=2,0.221120916,0.253525611,0.136595471,0.331434248,0.888536871,0.751682931,0.026255366,0.252458491,0.226904688,0.283655026,0.994524706,1,0.151359957,0.335659888,x
Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4,0.504209832,0.40729806,0.106255763,0.318385654,0.307480111,0.608824883,0.062083831,0.361723349,0.040716257,0.202796792,0.474266633,1,0.028195155,0.205034994,x
Leukocyte elastase inhibitor OS=Homo sapiens GN=SERPINB1 PE=1 SV=1,0.000714215,0.019822028,0.003167163,0.160228477,0.364843358,0.608824883,9.24E-05,0.023343271,0.160535229,0.252676899,0.59176996,1,0.170923886,0.352598902,x
A-kinase anchor protein 2 OS=Homo sapiens GN=AKAP2 PE=1 SV=3,0.110776552,0.17577208,0.351936584,0.429371006,0.372887376,0.608824883,0.098817721,0.425948191,0.305749582,0.313967612,0.049270493,1,0.678302509,0.586131075,x
Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2,0.876727388,0.569431431,0.834157424,0.573687539,0.205842809,0.608824883,0.610879104,0.706968053,0.122901341,0.233194644,0.688651793,1,0.072208695,0.271838176,x
GDP-fucose protein O-fucosyltransferase 1 OS=Homo sapiens GN=POFUT1 PE=1 SV=1,0.715351092,0.505790552,0.919613237,0.594855076,0.374470642,0.608824883,0.926259862,0.815079264,0.375235706,0.333182205,0.867069967,1,0.377244018,0.453064641,x
N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens GN=GNPTG PE=1 SV=1,0.157231624,0.211499925,0.998355881,0.615516737,0.243839505,0.608824883,0.258476037,0.546808835,0.196906435,0.271376455,0.125419652,1,0.568493455,0.540716572,x
UDP-N-acetylhexosamine pyrophosphorylase OS=Homo sapiens GN=UAP1 PE=1 SV=3,0.927638969,0.586093531,0.764825144,0.554051458,0.862508531,0.749484233,0.613974712,0.707263484,0.833387144,0.482068877,0.858526182,1,0.656814409,0.57828812,x
Calponin-3 OS=Homo sapiens GN=CNN3 PE=1 SV=1,0.002155749,0.03622118,0.00824154,0.16805672,0.140179664,0.608824883,0.01804987,0.21505908,0.980935612,0.522655949,0.170342212,1,0.651237633,0.575281413,x
Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2,0.773791231,0.52929222,0.482171915,0.476475207,0.228306995,0.608824883,0.139930717,0.459326709,0.111336699,0.232556846,0.358091987,1,0.042983127,0.230857499,x
Thioredoxin domain-containing protein 17 OS=Homo sapiens GN=TXNDC17 PE=1 SV=1,0.172363684,0.222032968,0.527830815,0.48448315,0.487881861,0.636071801,0.754440009,0.766346929,0.665637357,0.424045933,0.465328992,1,0.424757378,0.475375875,x
Matrix remodeling-associated protein 8 OS=Homo sapiens GN=MXRA8 PE=1 SV=1,0.473337629,0.392304436,0.193669786,0.36443351,0.593980379,0.656549808,0.719269383,0.757638365,0.620766522,0.409009808,0.374866109,1,0.815076817,0.646721703,x
Macrophage-capping protein OS=Homo sapiens GN=CAPG PE=1 SV=2,0.097374081,0.165110209,0.703303785,0.538042026,0.425714885,0.614456869,0.17925461,0.491740905,0.203706047,0.277824134,0.043492868,1,0.606569854,0.556663524,x
Platelet-activating factor acetylhydrolase IB subunit alpha OS=Homo sapiens GN=PAFAH1B1 PE=1 SV=2,0.756302702,0.521965899,0.007593298,0.16805672,0.219044643,0.608824883,0.012034106,0.179537773,0.461587436,0.362059651,0.369584185,1,0.279248454,0.422254837,x
Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1,0.022305347,0.074146601,0.596284347,0.504305099,0.887923704,0.751682931,0.252288038,0.540967197,0.633878056,0.414320424,0.746029634,1,0.413743499,0.470525576,x
40S ribosomal protein S28 OS=Bos taurus GN=RPS28 PE=3 SV=1,0.956478608,0.594417173,0.998807003,0.615516737,0.326416253,0.608824883,0.716815287,0.756314933,0.431224785,0.351736496,0.783963911,1,0.200766271,0.380939311,x
"Fatty acid-binding protein, heart OS=Homo sapiens GN=FABP3 PE=1 SV=4",0.035551474,0.094407266,0.657872358,0.526376478,0.488723419,0.636071801,0.867875818,0.796000269,0.400481554,0.339604556,0.628666962,1,0.713332895,0.603107073,x
Myeloid-derived growth factor OS=Homo sapiens GN=MYDGF PE=1 SV=1,0.806879919,0.543082021,0.463484313,0.467893329,0.607818036,0.661786876,0.64555904,0.719449261,0.671601546,0.42648883,0.223036149,1,0.298906728,0.427652145,x
Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2,0.051931107,0.114848974,0.094794948,0.308900524,0.805415017,0.72899697,0.447877593,0.635215353,0.342193495,0.326084281,0.166743732,1,0.722033253,0.607985005,x
Calmodulin-1 OS=Homo sapiens GN=CALM1 PE=1 SV=1,0.481092385,0.395538923,0.300647565,0.406970252,0.300780104,0.608824883,0.528802024,0.671211818,0.023245566,0.183942243,0.313035964,1,0.830045914,0.650276049,x
Biotinidase OS=Homo sapiens GN=BTD PE=1 SV=2,0.71503808,0.505790552,0.7704481,0.555423304,0.223588097,0.608824883,0.272620298,0.554710672,0.095641979,0.230303107,0.259018419,1,0.042445112,0.230857499,x
NEDD8 OS=Homo sapiens GN=NEDD8 PE=1 SV=1,0.018987847,0.07109221,0.337507341,0.427210173,0.514415633,0.636245034,0.131977497,0.454102461,0.380438476,0.334675116,0.341099716,1,0.231164603,0.402066429,x
Alpha-N-acetylglucosaminidase OS=Homo sapiens GN=NAGLU PE=1 SV=2,0.546077368,0.429115213,0.759969155,0.551381983,0.697093442,0.692522205,0.436793183,0.626656693,0.449975743,0.357406304,0.330516676,1,0.526319197,0.529931478,x
Elongation factor 1-beta OS=Bos taurus GN=EEF1B PE=2 SV=3,0.115843846,0.180731577,0.649753578,0.523281253,0.085905607,0.608824883,0.210081116,0.517702994,0.267700241,0.297516863,0.460212628,1,0.724689527,0.609321047,x
CD59 glycoprotein OS=Homo sapiens GN=CD59 PE=1 SV=1,0.24006511,0.266005153,0.352029988,0.429371006,0.135049014,0.608824883,0.237390632,0.524151841,0.30033733,0.311982203,0.717329002,1,0.348485628,0.452141063,x
Ribonuclease T2 OS=Homo sapiens GN=RNASET2 PE=1 SV=2,0.002429705,0.038712627,0.849250546,0.577871188,0.057392834,0.608824883,0.179605377,0.491740905,0.107646628,0.232556846,0.248906013,1,0.017679897,0.170077318,x
Serglycin OS=Homo sapiens GN=SRGN PE=1 SV=3,0.437229656,0.368324017,0.700108044,0.53690568,0.992019414,0.776795211,0.728428174,0.760359074,0.689528518,0.431758443,0.810826645,1,0.679488336,0.586131075,x
Collagen alpha-5(IV) chain OS=Homo sapiens GN=COL4A5 PE=1 SV=2,0.998994799,0.603998173,0.026511901,0.240070518,0.25368582,0.608824883,0.009305492,0.160992643,0.011992155,0.157402841,0.751569511,1,0.005644893,0.105416536,x
Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2,0.013877011,0.061066593,0.161356925,0.351750854,0.396895406,0.610009022,0.006336371,0.145076259,0.102079638,0.232556846,0.393535521,1,0.008653279,0.137478182,x
40S ribosomal protein S12 OS=Bos taurus GN=RPS12 PE=2 SV=1,0.200122538,0.239551386,0.678989464,0.530030815,0.897493237,0.756115926,0.580276491,0.695398085,0.518691861,0.379489653,0.999325022,1,0.214259684,0.389946673,x
"10 kDa heat shock protein, mitochondrial OS=Bos taurus GN=HSPE1 PE=3 SV=2",0.56871825,0.441278186,0.957649549,0.605679965,0.259136228,0.608824883,0.806163137,0.77603028,0.212342951,0.279213758,0.712114532,1,0.184706773,0.367499658,x
PDZ and LIM domain protein 7 OS=Homo sapiens GN=PDLIM7 PE=1 SV=1,0.021604581,0.073239309,0.089772195,0.297683527,0.242065302,0.608824883,0.300725732,0.566027639,0.769057321,0.461506636,0.534790981,1,0.541143324,0.53533783,x
Peptidyl-prolyl cis-trans isomerase FKBP1A OS=Bos taurus GN=FKBP1A PE=1 SV=2,0.367688383,0.335426615,0.057735021,0.270504547,0.273208115,0.608824883,0.010656292,0.174365997,0.66065838,0.422196979,0.018112943,1,0.659622235,0.578368325,x
Desmocollin-3 OS=Homo sapiens GN=DSC3 PE=1 SV=3,0.791401194,0.537554759,0.193786281,0.36443351,0.211093487,0.608824883,0.000842022,0.062555313,0.605084692,0.404622864,0.001550764,0.790889716,0.000107723,0.025054996,x
Fibulin-5 OS=Homo sapiens GN=FBLN5 PE=1 SV=1,0.101452252,0.167981548,0.12644072,0.326509463,0.944603159,0.769326608,0.047110126,0.318722192,0.188124478,0.265725123,0.391417557,1,0.079313622,0.27332369,x
Thymosin beta-4 OS=Bos taurus GN=TMSB4 PE=1 SV=2,0.104238729,0.169592963,0.060527744,0.276705992,0.509590237,0.636245034,0.007696293,0.145076259,0.794450637,0.468387173,0.560856459,1,0.64492154,0.572898074,x
A disintegrin and metalloproteinase with thrombospondin motifs 1 OS=Homo sapiens GN=ADAMTS1 PE=1 SV=4,0.017250565,0.068723281,0.030903808,0.240633722,0.01992082,0.608824883,0.004384391,0.130177719,0.005209377,0.132200723,0.362118495,1,0.000913553,0.058178258,x
Phosphatidylinositol transfer protein beta isoform OS=Bos taurus GN=PITPNB PE=1 SV=3,0.017372951,0.068904049,0.099666608,0.310685462,0.632141745,0.668548072,0.841004067,0.789705892,0.209513667,0.279213758,0.089277843,1,0.661778601,0.579132304,x
Heat shock 70 kDa protein 13 OS=Homo sapiens GN=HSPA13 PE=1 SV=1,0.033620276,0.093366218,0.110138354,0.319143879,0.054306787,0.608824883,0.017621946,0.21505908,0.027912208,0.194212744,0.701069961,1,0.003895293,0.101327692,x
Twinfilin-2 OS=Homo sapiens GN=TWF2 PE=1 SV=2,0.074221616,0.141130601,0.754826472,0.55108646,0.499952327,0.636245034,0.496320318,0.653674808,0.311928723,0.316119194,0.196076855,1,0.84364069,0.652489551,x
Semaphorin-5A OS=Homo sapiens GN=SEMA5A PE=1 SV=3,0.025729129,0.080575069,0.960033177,0.606780018,0.618457386,0.665849226,0.811317683,0.778212146,0.604520152,0.404622864,0.807008921,1,0.745518211,0.616127075,x
Collagen and calcium-binding EGF domain-containing protein 1 OS=Homo sapiens GN=CCBE1 PE=1 SV=1,0.105349263,0.170499241,0.590528605,0.501721779,0.292903828,0.608824883,0.8879751,0.800228031,0.317840628,0.317904432,0.530123724,1,0.247044187,0.409962849,x
Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1,0.593646809,0.454514689,0.894711081,0.588809055,0.383319383,0.608824883,0.449434417,0.635630071,0.398572264,0.339446971,0.406987243,1,0.264070137,0.416634879,x
Dihydropyrimidinase-related protein 3 OS=Homo sapiens GN=DPYSL3 PE=1 SV=1,0.155955653,0.211012155,0.312483378,0.412154463,0.614247309,0.665787503,0.196159075,0.50870852,0.569591482,0.394281554,0.949965747,1,0.498639357,0.51732932,x
Septin-2 OS=Homo sapiens GN=SEPT2 PE=1 SV=1,0.83633947,0.554229704,0.157344354,0.347834665,0.201457421,0.608824883,0.39872377,0.614112365,0.449698695,0.357406304,0.688481671,1,0.975982015,0.693981534,x
26S proteasome non-ATPase regulatory subunit 1 OS=Homo sapiens GN=PSMD1 PE=1 SV=2,0.607875187,0.461676739,0.720261392,0.54349917,0.226584025,0.608824883,0.159589417,0.479223471,0.249966096,0.291986814,0.46139811,1,0.01578571,0.167464433,x
Protein enabled homolog OS=Homo sapiens GN=ENAH PE=1 SV=2,0.114613267,0.180129408,0.428127942,0.453900762,0.201213937,0.608824883,0.547585908,0.678840974,0.318248539,0.317904432,0.135535283,1,0.072510321,0.271838176,x
Vacuolar protein sorting-associated protein 35 OS=Bos taurus GN=VPS35 PE=2 SV=1,0.836636775,0.554229704,0.627569629,0.5146059,0.298551378,0.608824883,0.96854668,0.820442581,0.345462292,0.328330183,0.720614028,1,0.395046386,0.460744497,x
Disintegrin and metalloproteinase domain-containing protein 15 OS=Homo sapiens GN=ADAM15 PE=1 SV=4,0.065524842,0.130783226,0.835068507,0.573687539,0.551345717,0.640801395,0.180271786,0.491740905,0.485036157,0.369325907,0.1091994,1,0.800121937,0.63989103,x
Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1,0.003441102,0.040606408,0.35178574,0.429371006,0.599468352,0.65810988,0.879448219,0.798817471,0.910691693,0.503454287,0.518666249,1,0.594048424,0.550863922,x
Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1,0.034256599,0.093366218,0.659583413,0.527058095,0.193431279,0.608824883,0.328523385,0.580974793,0.026135609,0.194212744,0.420433207,1,0.066026573,0.264219594,x
"ATP-dependent 6-phosphofructokinase, platelet type OS=Homo sapiens GN=PFKP PE=1 SV=2",0.53055256,0.42157588,0.543697872,0.489472201,0.089989756,0.608824883,0.397550968,0.613803102,0.041330807,0.202796792,0.896872955,1,0.016411651,0.16797584,x
Cell migration-inducing and hyaluronan-binding protein OS=Homo sapiens GN=CEMIP PE=1 SV=2,0.001714498,0.03233464,0.081211831,0.290252089,0.279422537,0.608824883,0.002174145,0.096535687,0.051837492,0.207125769,0.463248621,1,0.000786377,0.058178258,x
Optineurin OS=Homo sapiens GN=OPTN PE=1 SV=2,0.737715493,0.51469106,0.015998359,0.198126971,0.269113207,0.608824883,0.47772387,0.643226118,0.840648474,0.483034487,0.032531012,1,0.418411293,0.473809151,x
Eukaryotic translation initiation factor 4B OS=Homo sapiens GN=EIF4B PE=1 SV=2,0.229612191,0.259339184,0.603874876,0.507309092,0.329209122,0.608824883,0.617532133,0.709661811,0.488723621,0.37073469,0.442593831,1,0.273311872,0.419205457,x
Protein CDV3 homolog OS=Homo sapiens GN=CDV3 PE=1 SV=1,0.006090652,0.05148857,0.073507428,0.28983908,0.284673095,0.608824883,0.112297535,0.435178604,0.195286366,0.271376455,0.388569061,1,0.144210101,0.330119082,x
"RNA-binding motif protein, X chromosome OS=Homo sapiens GN=RBMX PE=1 SV=3",0.475539638,0.393071879,0.78168479,0.558107891,0.903536286,0.758981617,0.14682841,0.468278778,0.624137783,0.410098109,0.182400135,1,0.035049052,0.228368515,x
Calponin-2 OS=Homo sapiens GN=CNN2 PE=1 SV=4,0.013550903,0.060789432,0.048811139,0.247136728,0.588032063,0.655737979,0.031538411,0.269810607,0.022279729,0.182274658,0.409047778,1,0.004283638,0.101327692,x
N-acetyl-D-glucosamine kinase OS=Homo sapiens GN=NAGK PE=1 SV=4,0.438490431,0.368713878,0.621071002,0.513328848,0.628185029,0.668548072,0.938972672,0.819461457,0.929226005,0.509859137,0.548257903,1,0.565247726,0.540028072,x
Palladin OS=Homo sapiens GN=PALLD PE=1 SV=3,0.000380331,0.018835858,0.179884131,0.358555345,0.198313504,0.608824883,0.220285662,0.517702994,0.411418401,0.343398791,0.689521358,1,0.592796525,0.550863922,x
Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens GN=MINPP1 PE=1 SV=1,0.702260633,0.501911162,0.854014386,0.579063671,0.150669124,0.608824883,0.429182735,0.625912923,0.093478747,0.230303107,0.384236095,1,0.044757356,0.234380785,x
Semaphorin-3B OS=Homo sapiens GN=SEMA3B PE=2 SV=1,0.200752988,0.239551386,0.557711392,0.49274886,0.698849209,0.693313594,0.199886814,0.512067006,0.428856593,0.350967444,0.473073639,1,0.187776729,0.37083516,x
SPARC-related modular calcium-binding protein 1 OS=Homo sapiens GN=SMOC1 PE=1 SV=1,0.207113628,0.243747581,0.863088199,0.580160746,0.365671933,0.608824883,0.893543464,0.801827076,0.263590045,0.296381355,0.526247189,1,0.326296178,0.440785098,x
